codigo,pib_0,pib_1,pib_2,pib_3,pib_4,pib_5,pib_6,pib_7,pib_8,pib_9,pib_10,pib_11,pib_12,pib_13,pib_14,pib_15,pib_16
1200328,74458.361,72755.286,70473.172,58270.894,52135.997,45671.298,41233.997,41691.96,53401.517,39419.502,30126.472,23837.501,20115.883,17845.384,14264.689,12952.218,12917.001
1200336,189423.876,179968.542,187729.055,150136.075,121765.921,104768.471,95418.696,103333.969,88276.763,70249.489,54627.886,49793.681,44796.73,41438.984,34005.205,30295.858,24276.906
1200344,124306.714,118696.551,94642.713,80018.274,66178.972,59547.643,55802.854,61496.834,60235.339,43619.864,35554.501,31316.062,29741.82,28392.464,22483.6,25567.741,15893.555
1200351,175479.979,159653.563,162375.221,146338.843,119708.986,94955.685,96004.931,109224.013,80375.432,67805.812,49180.041,37699.732,34291.567,28161.758,24700.415,21731.722,17386.776
1200385,263903.861,252968.309,237006.302,199656.961,178793.175,152724.472,132632.661,204472.874,179804.34,149337.311,114375.855,139909.76,105228.517,79170.593,67110.966,60310.874,56965.697
1200393,108966.358,97729.101,96499.277,82060.364,67806.977,60554.094,60317.594,64457.926,51111.785,41386.455,32315.925,25962.147,22873.85,19858.5,16912.895,15279.166,12368.853
1200401,8123182.184,8258088.667,8174771.036,6807581.451,6270618.95,5516687.118,5125851.32,3836558.609,3547941.585,3040675.535,2601182.507,2369238.932,2127861.552,1740716.049,1561793.475,1313380.834,1180524.045
1200427,183516.438,166470.255,171504.882,152052.647,109580.841,114058.359,124221.492,153208.11,87289.233,75097.944,61312.676,51523.713,43657.616,35748.437,29475.546,26734.13,22497.71
1200435,61114.077,57988.008,53394.842,45135.942,37656.721,35164.22,35855.183,28106.392,27813.688,22747.314,17567.706,15349.731,12426.906,10746.386,7966.176,6642.871,5780.643
1200450,345371.399,337471.088,325673.278,290838.015,256395.48,228062.629,184619.609,216976.606,209480.269,216489.88,171324.124,137315.392,124036.252,103897.773,89483.029,83301.386,64496.409
1200500,474448.251,462252.574,478780.891,426881.347,333670.776,282261.04,264528.129,371658.71,346589.856,255685.934,215527.527,234644.063,198430.007,229010.067,192048.155,149074.951,112579.978
1200609,428699.079,398537.279,387146.307,335519.898,292547.658,264411.96,227962.514,258591.487,237842.672,198074.067,162088.589,164424.132,125327.756,103135.537,90497.184,79334.124,75490.955
1200708,215576.998,202843.597,196801.915,168708.324,147390.2,130867.184,117259.888,150312.808,130034.601,110504.196,91952.496,82482.569,78714.881,70704.745,50885.318,52435.554,42904.101
1200807,223222.06,211744.189,203205.688,172519.459,143464.31,124815.808,114661.461,160377.769,142897.298,122462.518,95211.877,72782.843,75285.674,67228.763,55387.511,45979.784,43494.488
1300029,147946.137,102359.558,107772.584,90875.045,78120.546,81417.949,58364.675,53533.925,49202.519,52839.322,51451.143,43394.591,54113.496,56520.177,58596.305,31217.0,32306.974
1300060,66231.605,66484.349,63735.753,59861.483,51061.202,47890.595,36940.837,34528.468,31730.766,30288.075,27827.478,22004.996,20336.449,18261.966,16704.701,11437.447,10657.37
1300086,95317.688,83654.621,86080.232,84387.19,67764.007,71971.008,51913.34,41757.301,46733.598,29636.101,25196.088,18158.805,21215.73,16978.903,15819.348,11081.241,11000.319
1300102,177193.023,154629.546,168966.949,153866.905,137498.929,180211.328,64424.012,74491.761,68851.688,45853.733,41929.178,29946.626,27332.469,24295.088,21983.066,16917.489,15530.559
1300144,185275.033,206200.148,193061.234,157858.145,136498.175,129518.819,104517.786,147022.16,149620.058,83353.666,135786.796,99679.146,70302.552,61085.921,41404.645,27067.039,24248.505
1300201,168978.462,143243.063,124922.089,95742.672,84683.419,78878.796,68895.572,54641.452,50333.552,44474.57,39234.841,27920.739,25522.835,23070.03,20346.466,18841.082,17533.824
1300300,287716.749,265111.266,239017.171,197961.178,177214.959,173295.066,154784.984,136301.024,111529.161,135724.135,129499.894,102428.73,76877.837,89229.58,82620.946,58464.852,43057.849
1300409,157192.891,151620.145,147980.442,134364.374,121658.89,113865.788,93662.831,77727.922,76679.91,64885.569,67143.491,66452.87,60398.427,56192.678,65804.755,35421.997,35110.435
